activity_id,athlete_id,firstname,lastname
strava_kudoers_1000,strava_kudoers_1000,Strava item 0,Strava item 0
strava_kudoers_1001,strava_kudoers_1001,Strava item 1,Strava item 1
strava_kudoers_1002,strava_kudoers_1002,Strava item 2,Strava item 2
strava_kudoers_1003,strava_kudoers_1003,Strava item 3,Strava item 3
strava_kudoers_1004,strava_kudoers_1004,Strava item 4,Strava item 4
strava_kudoers_1005,strava_kudoers_1005,Strava item 5,Strava item 5
strava_kudoers_1006,strava_kudoers_1006,Strava item 6,Strava item 6
strava_kudoers_1007,strava_kudoers_1007,Strava item 7,Strava item 7
strava_kudoers_1008,strava_kudoers_1008,Strava item 8,Strava item 8
strava_kudoers_1009,strava_kudoers_1009,Strava item 9,Strava item 9
strava_kudoers_1010,strava_kudoers_1010,Strava item 10,Strava item 10
strava_kudoers_1011,strava_kudoers_1011,Strava item 11,Strava item 11
strava_kudoers_1012,strava_kudoers_1012,Strava item 12,Strava item 12
strava_kudoers_1013,strava_kudoers_1013,Strava item 13,Strava item 13
strava_kudoers_1014,strava_kudoers_1014,Strava item 14,Strava item 14
strava_kudoers_1015,strava_kudoers_1015,Strava item 15,Strava item 15
strava_kudoers_1016,strava_kudoers_1016,Strava item 16,Strava item 16
strava_kudoers_1017,strava_kudoers_1017,Strava item 17,Strava item 17
strava_kudoers_1018,strava_kudoers_1018,Strava item 18,Strava item 18
strava_kudoers_1019,strava_kudoers_1019,Strava item 19,Strava item 19
strava_kudoers_1020,strava_kudoers_1020,Strava item 20,Strava item 20
strava_kudoers_1021,strava_kudoers_1021,Strava item 21,Strava item 21
strava_kudoers_1022,strava_kudoers_1022,Strava item 22,Strava item 22
strava_kudoers_1023,strava_kudoers_1023,Strava item 23,Strava item 23
strava_kudoers_1024,strava_kudoers_1024,Strava item 24,Strava item 24
strava_kudoers_1025,strava_kudoers_1025,Strava item 25,Strava item 25
strava_kudoers_1026,strava_kudoers_1026,Strava item 26,Strava item 26
strava_kudoers_1027,strava_kudoers_1027,Strava item 27,Strava item 27
strava_kudoers_1028,strava_kudoers_1028,Strava item 28,Strava item 28
strava_kudoers_1029,strava_kudoers_1029,Strava item 29,Strava item 29
strava_kudoers_1030,strava_kudoers_1030,Strava item 30,Strava item 30
strava_kudoers_1031,strava_kudoers_1031,Strava item 31,Strava item 31
strava_kudoers_1032,strava_kudoers_1032,Strava item 32,Strava item 32
strava_kudoers_1033,strava_kudoers_1033,Strava item 33,Strava item 33
strava_kudoers_1034,strava_kudoers_1034,Strava item 34,Strava item 34
strava_kudoers_1035,strava_kudoers_1035,Strava item 35,Strava item 35
strava_kudoers_1036,strava_kudoers_1036,Strava item 36,Strava item 36
strava_kudoers_1037,strava_kudoers_1037,Strava item 37,Strava item 37
strava_kudoers_1038,strava_kudoers_1038,Strava item 38,Strava item 38
strava_kudoers_1039,strava_kudoers_1039,Strava item 39,Strava item 39
strava_kudoers_1040,strava_kudoers_1040,Strava item 40,Strava item 40
strava_kudoers_1041,strava_kudoers_1041,Strava item 41,Strava item 41
strava_kudoers_1042,strava_kudoers_1042,Strava item 42,Strava item 42
strava_kudoers_1043,strava_kudoers_1043,Strava item 43,Strava item 43
strava_kudoers_1044,strava_kudoers_1044,Strava item 44,Strava item 44
strava_kudoers_1045,strava_kudoers_1045,Strava item 45,Strava item 45
strava_kudoers_1046,strava_kudoers_1046,Strava item 46,Strava item 46
strava_kudoers_1047,strava_kudoers_1047,Strava item 47,Strava item 47
strava_kudoers_1048,strava_kudoers_1048,Strava item 48,Strava item 48
strava_kudoers_1049,strava_kudoers_1049,Strava item 49,Strava item 49
strava_kudoers_1050,strava_kudoers_1050,Strava item 50,Strava item 50
strava_kudoers_1051,strava_kudoers_1051,Strava item 51,Strava item 51
strava_kudoers_1052,strava_kudoers_1052,Strava item 52,Strava item 52
strava_kudoers_1053,strava_kudoers_1053,Strava item 53,Strava item 53
strava_kudoers_1054,strava_kudoers_1054,Strava item 54,Strava item 54
strava_kudoers_1055,strava_kudoers_1055,Strava item 55,Strava item 55
strava_kudoers_1056,strava_kudoers_1056,Strava item 56,Strava item 56
strava_kudoers_1057,strava_kudoers_1057,Strava item 57,Strava item 57
strava_kudoers_1058,strava_kudoers_1058,Strava item 58,Strava item 58
strava_kudoers_1059,strava_kudoers_1059,Strava item 59,Strava item 59
strava_kudoers_1060,strava_kudoers_1060,Strava item 60,Strava item 60
strava_kudoers_1061,strava_kudoers_1061,Strava item 61,Strava item 61
strava_kudoers_1062,strava_kudoers_1062,Strava item 62,Strava item 62
strava_kudoers_1063,strava_kudoers_1063,Strava item 63,Strava item 63
strava_kudoers_1064,strava_kudoers_1064,Strava item 64,Strava item 64
strava_kudoers_1065,strava_kudoers_1065,Strava item 65,Strava item 65
strava_kudoers_1066,strava_kudoers_1066,Strava item 66,Strava item 66
strava_kudoers_1067,strava_kudoers_1067,Strava item 67,Strava item 67
strava_kudoers_1068,strava_kudoers_1068,Strava item 68,Strava item 68
strava_kudoers_1069,strava_kudoers_1069,Strava item 69,Strava item 69
strava_kudoers_1070,strava_kudoers_1070,Strava item 70,Strava item 70
strava_kudoers_1071,strava_kudoers_1071,Strava item 71,Strava item 71
strava_kudoers_1072,strava_kudoers_1072,Strava item 72,Strava item 72
strava_kudoers_1073,strava_kudoers_1073,Strava item 73,Strava item 73
strava_kudoers_1074,strava_kudoers_1074,Strava item 74,Strava item 74
strava_kudoers_1075,strava_kudoers_1075,Strava item 75,Strava item 75
strava_kudoers_1076,strava_kudoers_1076,Strava item 76,Strava item 76
strava_kudoers_1077,strava_kudoers_1077,Strava item 77,Strava item 77
strava_kudoers_1078,strava_kudoers_1078,Strava item 78,Strava item 78
strava_kudoers_1079,strava_kudoers_1079,Strava item 79,Strava item 79
strava_kudoers_1080,strava_kudoers_1080,Strava item 80,Strava item 80
strava_kudoers_1081,strava_kudoers_1081,Strava item 81,Strava item 81
strava_kudoers_1082,strava_kudoers_1082,Strava item 82,Strava item 82
strava_kudoers_1083,strava_kudoers_1083,Strava item 83,Strava item 83
strava_kudoers_1084,strava_kudoers_1084,Strava item 84,Strava item 84
strava_kudoers_1085,strava_kudoers_1085,Strava item 85,Strava item 85
strava_kudoers_1086,strava_kudoers_1086,Strava item 86,Strava item 86
strava_kudoers_1087,strava_kudoers_1087,Strava item 87,Strava item 87
strava_kudoers_1088,strava_kudoers_1088,Strava item 88,Strava item 88
strava_kudoers_1089,strava_kudoers_1089,Strava item 89,Strava item 89
strava_kudoers_1090,strava_kudoers_1090,Strava item 90,Strava item 90
strava_kudoers_1091,strava_kudoers_1091,Strava item 91,Strava item 91
strava_kudoers_1092,strava_kudoers_1092,Strava item 92,Strava item 92
strava_kudoers_1093,strava_kudoers_1093,Strava item 93,Strava item 93
strava_kudoers_1094,strava_kudoers_1094,Strava item 94,Strava item 94
strava_kudoers_1095,strava_kudoers_1095,Strava item 95,Strava item 95
strava_kudoers_1096,strava_kudoers_1096,Strava item 96,Strava item 96
strava_kudoers_1097,strava_kudoers_1097,Strava item 97,Strava item 97
strava_kudoers_1098,strava_kudoers_1098,Strava item 98,Strava item 98
strava_kudoers_1099,strava_kudoers_1099,Strava item 99,Strava item 99
