list_id,email_address,full_name,status,timestamp_signup,member_rating
list-000,member0@familymail.ca,Aisha Vasquez,subscribed,2025-06-01T00:00:00Z,1
list-001,member1@familymail.ca,Liam Nguyen,subscribed,2025-06-02T00:00:00Z,1
list-002,member2@familymail.ca,Sofia Okafor,unsubscribed,2025-06-03T00:00:00Z,5
list-003,member3@familymail.ca,Noah Patel,subscribed,2025-06-04T00:00:00Z,3
list-004,member4@familymail.ca,Emma Chen,subscribed,2025-06-05T00:00:00Z,4
list-005,member5@familymail.ca,Mateo Rossi,cleaned,2025-06-06T00:00:00Z,5
list-006,member6@familymail.ca,Olivia Kowalski,subscribed,2025-06-07T00:00:00Z,2
list-007,member7@familymail.ca,Lucas Silva,unsubscribed,2025-06-08T00:00:00Z,5
list-008,member8@familymail.ca,Ava Ahmed,unsubscribed,2025-06-09T00:00:00Z,2
list-009,member9@familymail.ca,Ethan Murphy,subscribed,2025-06-10T00:00:00Z,5
list-000,member10@familymail.ca,Isabella Dubois,subscribed,2025-06-11T00:00:00Z,2
list-001,member11@familymail.ca,Diego Santos,cleaned,2025-06-12T00:00:00Z,3
list-002,member12@familymail.ca,Mia Kim,cleaned,2025-06-13T00:00:00Z,4
list-003,member13@familymail.ca,Jayden Reyes,cleaned,2025-06-14T00:00:00Z,4
list-004,member14@familymail.ca,Amara Haddad,unsubscribed,2025-06-15T00:00:00Z,4
list-005,member15@familymail.ca,Priya Sharma,unsubscribed,2025-06-16T00:00:00Z,4
list-006,member16@familymail.ca,Wei Zhang,unsubscribed,2025-06-17T00:00:00Z,5
list-007,member17@familymail.ca,Fatima Ali,cleaned,2025-06-18T00:00:00Z,5
list-008,member18@familymail.ca,Hassan Osei,unsubscribed,2025-06-19T00:00:00Z,4
list-009,member19@familymail.ca,Grace Thompson,subscribed,2025-06-20T00:00:00Z,2
list-000,member20@familymail.ca,Daniel Ferreira,unsubscribed,2025-06-21T00:00:00Z,1
list-001,member21@familymail.ca,Chloe Larsson,subscribed,2025-06-22T00:00:00Z,4
list-002,member22@familymail.ca,Marcus Novak,cleaned,2025-06-23T00:00:00Z,5
list-003,member23@familymail.ca,Nadia Mbeki,cleaned,2025-06-24T00:00:00Z,2
list-004,member24@familymail.ca,Omar Costa,cleaned,2025-06-25T00:00:00Z,4
list-005,member25@familymail.ca,Leah Bauer,cleaned,2025-06-26T00:00:00Z,3
list-006,member26@familymail.ca,Kwame Ivanov,subscribed,2025-06-27T00:00:00Z,2
list-007,member27@familymail.ca,Yuki Tremblay,unsubscribed,2025-06-28T00:00:00Z,2
list-008,member28@familymail.ca,Ravi Bianchi,cleaned,2025-06-29T00:00:00Z,1
list-009,member29@familymail.ca,Elena Wallace,subscribed,2025-06-30T00:00:00Z,2
list-000,member30@familymail.ca,Tariq Fernandez,unsubscribed,2025-07-01T00:00:00Z,4
list-001,member31@familymail.ca,Ingrid Adeyemi,unsubscribed,2025-07-02T00:00:00Z,1
list-002,member32@familymail.ca,Carlos Petrov,cleaned,2025-07-03T00:00:00Z,1
list-003,member33@familymail.ca,Rosa Sullivan,unsubscribed,2025-07-04T00:00:00Z,1
list-004,member34@familymail.ca,Eduardo Mensah,subscribed,2025-07-05T00:00:00Z,5
list-005,member35@familymail.ca,Lucia Rivera,cleaned,2025-07-06T00:00:00Z,5
list-006,member36@familymail.ca,Patricia Cohen,cleaned,2025-07-07T00:00:00Z,5
list-007,member37@familymail.ca,James Park,subscribed,2025-07-08T00:00:00Z,4
list-008,member38@familymail.ca,Grace Boateng,unsubscribed,2025-07-09T00:00:00Z,1
list-009,member39@familymail.ca,Bianca Hernandez,cleaned,2025-07-10T00:00:00Z,2
list-000,member40@familymail.ca,Simon Vidal,subscribed,2025-07-11T00:00:00Z,4
list-001,member41@familymail.ca,Deepa Okonkwo,cleaned,2025-07-12T00:00:00Z,3
list-002,member42@familymail.ca,Anton Lindqvist,unsubscribed,2025-07-13T00:00:00Z,4
list-003,member43@familymail.ca,Marisol Antoine,unsubscribed,2025-07-14T00:00:00Z,3
list-004,member44@familymail.ca,Hiro Yamada,cleaned,2025-07-15T00:00:00Z,1
list-005,member45@familymail.ca,Nina Bello,subscribed,2025-07-16T00:00:00Z,3
list-006,member46@familymail.ca,Kofi Dupont,unsubscribed,2025-07-17T00:00:00Z,5
list-007,member47@familymail.ca,Zara Serrano,cleaned,2025-07-18T00:00:00Z,1
list-008,member48@familymail.ca,Victor Vasquez,cleaned,2025-07-19T00:00:00Z,4
list-009,member49@familymail.ca,Lena Nguyen,cleaned,2025-07-20T00:00:00Z,5
list-000,member50@familymail.ca,Sam Okafor,cleaned,2025-07-21T00:00:00Z,3
list-001,member51@familymail.ca,Farah Patel,unsubscribed,2025-07-22T00:00:00Z,4
list-002,member52@familymail.ca,Owen Chen,subscribed,2025-07-23T00:00:00Z,2
list-003,member53@familymail.ca,Talia Rossi,unsubscribed,2025-07-24T00:00:00Z,2
list-004,member54@familymail.ca,Bruno Kowalski,cleaned,2025-07-25T00:00:00Z,4
list-005,member55@familymail.ca,Cora Silva,cleaned,2025-07-26T00:00:00Z,3
list-006,member56@familymail.ca,Idris Ahmed,subscribed,2025-07-27T00:00:00Z,5
list-007,member57@familymail.ca,Maya Murphy,subscribed,2025-07-28T00:00:00Z,3
list-008,member58@familymail.ca,Reza Dubois,unsubscribed,2025-07-29T00:00:00Z,4
list-009,member59@familymail.ca,Sinead Santos,subscribed,2025-07-30T00:00:00Z,5
list-000,member60@familymail.ca,Aisha Kim,subscribed,2025-07-31T00:00:00Z,2
list-001,member61@familymail.ca,Liam Reyes,unsubscribed,2025-08-01T00:00:00Z,2
list-002,member62@familymail.ca,Sofia Haddad,cleaned,2025-08-02T00:00:00Z,5
list-003,member63@familymail.ca,Noah Sharma,unsubscribed,2025-08-03T00:00:00Z,3
list-004,member64@familymail.ca,Emma Zhang,cleaned,2025-08-04T00:00:00Z,1
list-005,member65@familymail.ca,Mateo Ali,cleaned,2025-08-05T00:00:00Z,1
list-006,member66@familymail.ca,Olivia Osei,cleaned,2025-08-06T00:00:00Z,1
list-007,member67@familymail.ca,Lucas Thompson,cleaned,2025-08-07T00:00:00Z,4
list-008,member68@familymail.ca,Ava Ferreira,cleaned,2025-08-08T00:00:00Z,5
list-009,member69@familymail.ca,Ethan Larsson,subscribed,2025-08-09T00:00:00Z,1
list-000,member70@familymail.ca,Isabella Novak,cleaned,2025-08-10T00:00:00Z,1
list-001,member71@familymail.ca,Diego Mbeki,subscribed,2025-08-11T00:00:00Z,4
list-002,member72@familymail.ca,Mia Costa,cleaned,2025-08-12T00:00:00Z,4
list-003,member73@familymail.ca,Jayden Bauer,cleaned,2025-08-13T00:00:00Z,4
list-004,member74@familymail.ca,Amara Ivanov,cleaned,2025-08-14T00:00:00Z,2
list-005,member75@familymail.ca,Priya Tremblay,subscribed,2025-08-15T00:00:00Z,5
list-006,member76@familymail.ca,Wei Bianchi,subscribed,2025-08-16T00:00:00Z,4
list-007,member77@familymail.ca,Fatima Wallace,cleaned,2025-08-17T00:00:00Z,3
list-008,member78@familymail.ca,Hassan Fernandez,unsubscribed,2025-08-18T00:00:00Z,3
