id,list_id,type,status,subject_line,from_name,reply_to,title,emails_sent,send_time,create_time
camp-0000,list-000,regular,draft,Newsletter 0,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 0,244,2026-01-01T00:00:00Z,2025-12-01T00:00:00Z
camp-0001,list-001,regular,sent,Newsletter 1,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 1,128,2026-01-02T00:00:00Z,2025-12-02T00:00:00Z
camp-0002,list-002,regular,scheduled,Newsletter 2,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 2,228,2026-01-03T00:00:00Z,2025-12-03T00:00:00Z
camp-0003,list-003,regular,draft,Newsletter 3,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 3,71,2026-01-04T00:00:00Z,2025-12-04T00:00:00Z
camp-0004,list-004,regular,draft,Newsletter 4,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 4,295,2026-01-05T00:00:00Z,2025-12-05T00:00:00Z
camp-0005,list-005,regular,scheduled,Newsletter 5,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 5,122,2026-01-06T00:00:00Z,2025-12-06T00:00:00Z
camp-0006,list-006,regular,draft,Newsletter 6,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 6,191,2026-01-07T00:00:00Z,2025-12-07T00:00:00Z
camp-0007,list-007,regular,draft,Newsletter 7,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 7,64,2026-01-08T00:00:00Z,2025-12-08T00:00:00Z
camp-0008,list-008,regular,sent,Newsletter 8,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 8,220,2026-01-09T00:00:00Z,2025-12-09T00:00:00Z
camp-0009,list-009,regular,sent,Newsletter 9,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 9,20,2026-01-10T00:00:00Z,2025-12-10T00:00:00Z
camp-0010,list-000,regular,sent,Newsletter 10,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 10,140,2026-01-11T00:00:00Z,2025-12-11T00:00:00Z
camp-0011,list-001,regular,sent,Newsletter 11,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 11,229,2026-01-12T00:00:00Z,2025-12-12T00:00:00Z
camp-0012,list-002,regular,sent,Newsletter 12,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 12,47,2026-01-13T00:00:00Z,2025-12-13T00:00:00Z
camp-0013,list-003,regular,draft,Newsletter 13,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 13,260,2026-01-14T00:00:00Z,2025-12-14T00:00:00Z
camp-0014,list-004,regular,draft,Newsletter 14,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 14,175,2026-01-15T00:00:00Z,2025-12-15T00:00:00Z
camp-0015,list-005,regular,draft,Newsletter 15,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 15,105,2026-01-16T00:00:00Z,2025-12-16T00:00:00Z
camp-0016,list-006,regular,sent,Newsletter 16,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 16,154,2026-01-17T00:00:00Z,2025-12-17T00:00:00Z
camp-0017,list-007,regular,draft,Newsletter 17,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 17,122,2026-01-18T00:00:00Z,2025-12-18T00:00:00Z
camp-0018,list-008,regular,sent,Newsletter 18,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 18,36,2026-01-19T00:00:00Z,2025-12-19T00:00:00Z
camp-0019,list-009,regular,draft,Newsletter 19,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 19,64,2026-01-20T00:00:00Z,2025-12-20T00:00:00Z
camp-0020,list-000,regular,draft,Newsletter 20,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 20,161,2026-01-21T00:00:00Z,2025-12-21T00:00:00Z
camp-0021,list-001,regular,sent,Newsletter 21,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 21,253,2026-01-22T00:00:00Z,2025-12-22T00:00:00Z
camp-0022,list-002,regular,draft,Newsletter 22,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 22,213,2026-01-23T00:00:00Z,2025-12-23T00:00:00Z
camp-0023,list-003,regular,scheduled,Newsletter 23,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 23,161,2026-01-24T00:00:00Z,2025-12-24T00:00:00Z
camp-0024,list-004,regular,sent,Newsletter 24,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 24,79,2026-01-25T00:00:00Z,2025-12-25T00:00:00Z
camp-0025,list-005,regular,sent,Newsletter 25,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 25,294,2026-01-26T00:00:00Z,2025-12-26T00:00:00Z
camp-0026,list-006,regular,draft,Newsletter 26,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 26,91,2026-01-27T00:00:00Z,2025-12-27T00:00:00Z
camp-0027,list-007,regular,scheduled,Newsletter 27,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 27,143,2026-01-28T00:00:00Z,2025-12-28T00:00:00Z
camp-0028,list-008,regular,sent,Newsletter 28,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 28,62,2026-01-29T00:00:00Z,2025-12-29T00:00:00Z
camp-0029,list-009,regular,scheduled,Newsletter 29,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 29,248,2026-01-30T00:00:00Z,2025-12-30T00:00:00Z
camp-0030,list-000,regular,scheduled,Newsletter 30,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 30,23,2026-01-31T00:00:00Z,2025-12-31T00:00:00Z
camp-0031,list-001,regular,draft,Newsletter 31,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 31,121,2026-02-01T00:00:00Z,2026-01-01T00:00:00Z
camp-0032,list-002,regular,sent,Newsletter 32,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 32,248,2026-02-02T00:00:00Z,2026-01-02T00:00:00Z
camp-0033,list-003,regular,scheduled,Newsletter 33,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 33,118,2026-02-03T00:00:00Z,2026-01-03T00:00:00Z
camp-0034,list-004,regular,sent,Newsletter 34,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 34,191,2026-02-04T00:00:00Z,2026-01-04T00:00:00Z
camp-0035,list-005,regular,scheduled,Newsletter 35,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 35,54,2026-02-05T00:00:00Z,2026-01-05T00:00:00Z
camp-0036,list-006,regular,scheduled,Newsletter 36,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 36,84,2026-02-06T00:00:00Z,2026-01-06T00:00:00Z
camp-0037,list-007,regular,sent,Newsletter 37,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 37,59,2026-02-07T00:00:00Z,2026-01-07T00:00:00Z
camp-0038,list-008,regular,scheduled,Newsletter 38,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 38,194,2026-02-08T00:00:00Z,2026-01-08T00:00:00Z
camp-0039,list-009,regular,draft,Newsletter 39,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 39,134,2026-02-09T00:00:00Z,2026-01-09T00:00:00Z
camp-0040,list-000,regular,scheduled,Newsletter 40,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 40,287,2026-02-10T00:00:00Z,2026-01-10T00:00:00Z
camp-0041,list-001,regular,draft,Newsletter 41,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 41,73,2026-02-11T00:00:00Z,2026-01-11T00:00:00Z
camp-0042,list-002,regular,sent,Newsletter 42,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 42,157,2026-02-12T00:00:00Z,2026-01-12T00:00:00Z
camp-0043,list-003,regular,draft,Newsletter 43,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 43,234,2026-02-13T00:00:00Z,2026-01-13T00:00:00Z
camp-0044,list-004,regular,sent,Newsletter 44,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 44,192,2026-02-14T00:00:00Z,2026-01-14T00:00:00Z
camp-0045,list-005,regular,scheduled,Newsletter 45,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 45,99,2026-02-15T00:00:00Z,2026-01-15T00:00:00Z
camp-0046,list-006,regular,sent,Newsletter 46,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 46,121,2026-02-16T00:00:00Z,2026-01-16T00:00:00Z
camp-0047,list-007,regular,sent,Newsletter 47,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 47,45,2026-02-17T00:00:00Z,2026-01-17T00:00:00Z
camp-0048,list-008,regular,draft,Newsletter 48,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 48,152,2026-02-18T00:00:00Z,2026-01-18T00:00:00Z
camp-0049,list-009,regular,scheduled,Newsletter 49,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 49,286,2026-02-19T00:00:00Z,2026-01-19T00:00:00Z
camp-0050,list-000,regular,scheduled,Newsletter 50,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 50,248,2026-02-20T00:00:00Z,2026-01-20T00:00:00Z
camp-0051,list-001,regular,draft,Newsletter 51,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 51,162,2026-02-21T00:00:00Z,2026-01-21T00:00:00Z
camp-0052,list-002,regular,sent,Newsletter 52,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 52,191,2026-02-22T00:00:00Z,2026-01-22T00:00:00Z
camp-0053,list-003,regular,sent,Newsletter 53,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 53,270,2026-02-23T00:00:00Z,2026-01-23T00:00:00Z
camp-0054,list-004,regular,sent,Newsletter 54,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 54,69,2026-02-24T00:00:00Z,2026-01-24T00:00:00Z
camp-0055,list-005,regular,draft,Newsletter 55,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 55,286,2026-02-25T00:00:00Z,2026-01-25T00:00:00Z
camp-0056,list-006,regular,sent,Newsletter 56,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 56,218,2026-02-26T00:00:00Z,2026-01-26T00:00:00Z
camp-0057,list-007,regular,scheduled,Newsletter 57,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 57,173,2026-02-27T00:00:00Z,2026-01-27T00:00:00Z
camp-0058,list-008,regular,scheduled,Newsletter 58,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 58,195,2026-02-28T00:00:00Z,2026-01-28T00:00:00Z
camp-0059,list-009,regular,scheduled,Newsletter 59,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 59,27,2026-03-01T00:00:00Z,2026-01-29T00:00:00Z
camp-0060,list-000,regular,scheduled,Newsletter 60,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 60,270,2026-03-02T00:00:00Z,2026-01-30T00:00:00Z
camp-0061,list-001,regular,draft,Newsletter 61,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 61,142,2026-03-03T00:00:00Z,2026-01-31T00:00:00Z
camp-0062,list-002,regular,sent,Newsletter 62,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 62,215,2026-03-04T00:00:00Z,2026-02-01T00:00:00Z
camp-0063,list-003,regular,sent,Newsletter 63,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 63,77,2026-03-05T00:00:00Z,2026-02-02T00:00:00Z
camp-0064,list-004,regular,sent,Newsletter 64,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 64,151,2026-03-06T00:00:00Z,2026-02-03T00:00:00Z
camp-0065,list-005,regular,draft,Newsletter 65,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 65,181,2026-03-07T00:00:00Z,2026-02-04T00:00:00Z
camp-0066,list-006,regular,draft,Newsletter 66,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 66,232,2026-03-08T00:00:00Z,2026-02-05T00:00:00Z
camp-0067,list-007,regular,sent,Newsletter 67,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 67,81,2026-03-09T00:00:00Z,2026-02-06T00:00:00Z
camp-0068,list-008,regular,scheduled,Newsletter 68,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 68,220,2026-03-10T00:00:00Z,2026-02-07T00:00:00Z
camp-0069,list-009,regular,sent,Newsletter 69,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 69,260,2026-03-11T00:00:00Z,2026-02-08T00:00:00Z
camp-0070,list-000,regular,draft,Newsletter 70,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 70,246,2026-03-12T00:00:00Z,2026-02-09T00:00:00Z
camp-0071,list-001,regular,scheduled,Newsletter 71,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 71,101,2026-03-13T00:00:00Z,2026-02-10T00:00:00Z
camp-0072,list-002,regular,scheduled,Newsletter 72,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 72,220,2026-03-14T00:00:00Z,2026-02-11T00:00:00Z
camp-0073,list-003,regular,sent,Newsletter 73,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 73,168,2026-03-15T00:00:00Z,2026-02-12T00:00:00Z
camp-0074,list-004,regular,sent,Newsletter 74,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 74,217,2026-03-16T00:00:00Z,2026-02-13T00:00:00Z
camp-0075,list-005,regular,scheduled,Newsletter 75,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 75,281,2026-03-17T00:00:00Z,2026-02-14T00:00:00Z
camp-0076,list-006,regular,scheduled,Newsletter 76,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 76,124,2026-03-18T00:00:00Z,2026-02-15T00:00:00Z
camp-0077,list-007,regular,draft,Newsletter 77,Mary Vasquez,mary.vasquez@Finthesiss.ai,Campaign 77,261,2026-03-19T00:00:00Z,2026-02-16T00:00:00Z
