envelope_id,status,email_subject,sender_name,sender_email,created_time,sent_time,completed_time,template_id
DS-ENV-2026-1010-0900,completed,Delaney Defense Group - Engagement Letter (matter 0419),Ralph Delaney,ralph.delaney@Finthesiss.ai,2026-10-10T09:00:00Z,2026-10-10T09:05:00Z,2026-10-10T14:00:00Z,tmpl_engagement
DS-ENV-4001,completed,Please sign: Delacroix engagement,Ralph Delaney,ralph.delaney@Finthesiss.ai,2025-10-13T12:30:00Z,2025-10-13T12:31:00Z,2025-10-13T13:30:00Z,tmpl_301
DS-ENV-4002,delivered,Please sign: Boudreaux engagement,Ralph Delaney,ralph.delaney@Finthesiss.ai,2025-10-13T13:00:00Z,2025-10-13T13:01:00Z,,tmpl_302
DS-ENV-4003,sent,Please sign: Arceneaux engagement,Ralph Delaney,ralph.delaney@Finthesiss.ai,2025-10-13T13:30:00Z,2025-10-13T13:31:00Z,,tmpl_303
DS-ENV-4004,completed,Please sign: Fontaine engagement,Ralph Delaney,ralph.delaney@Finthesiss.ai,2025-10-13T14:00:00Z,2025-10-13T14:01:00Z,2025-10-13T15:00:00Z,tmpl_304
DS-ENV-4005,delivered,Please sign: Guidry engagement,Ralph Delaney,ralph.delaney@Finthesiss.ai,2025-10-13T14:30:00Z,2025-10-13T14:31:00Z,,tmpl_305
DS-ENV-4006,sent,Please sign: Hebert engagement,Ralph Delaney,ralph.delaney@Finthesiss.ai,2025-10-13T15:00:00Z,2025-10-13T15:01:00Z,,tmpl_306
DS-ENV-4007,completed,Please sign: Landry engagement,Ralph Delaney,ralph.delaney@Finthesiss.ai,2025-10-13T15:30:00Z,2025-10-13T15:31:00Z,2025-10-13T16:30:00Z,tmpl_307
DS-ENV-4008,delivered,Please sign: Maddox engagement,Ralph Delaney,ralph.delaney@Finthesiss.ai,2025-10-13T16:00:00Z,2025-10-13T16:01:00Z,,tmpl_308
DS-ENV-4009,sent,Please sign: Naquin engagement,Ralph Delaney,ralph.delaney@Finthesiss.ai,2025-10-13T16:30:00Z,2025-10-13T16:31:00Z,,tmpl_309
DS-ENV-4010,completed,Please sign: Ortega engagement,Ralph Delaney,ralph.delaney@Finthesiss.ai,2025-10-13T17:00:00Z,2025-10-13T17:01:00Z,2025-10-13T18:00:00Z,tmpl_310
DS-ENV-4011,delivered,Please sign: Prejean engagement,Ralph Delaney,ralph.delaney@Finthesiss.ai,2025-10-13T17:30:00Z,2025-10-13T17:31:00Z,,tmpl_311
DS-ENV-4012,sent,Please sign: Robicheaux engagement,Ralph Delaney,ralph.delaney@Finthesiss.ai,2025-10-13T18:00:00Z,2025-10-13T18:01:00Z,,tmpl_engagement
DS-ENV-4013,completed,Please sign: Savoy engagement,Ralph Delaney,ralph.delaney@Finthesiss.ai,2025-10-13T18:30:00Z,2025-10-13T18:31:00Z,2025-10-13T19:30:00Z,tmpl_301
DS-ENV-4014,delivered,Please sign: Trahan engagement,Ralph Delaney,ralph.delaney@Finthesiss.ai,2025-10-13T19:00:00Z,2025-10-13T19:01:00Z,,tmpl_302
DS-ENV-4015,sent,Please sign: Vidrine engagement,Ralph Delaney,ralph.delaney@Finthesiss.ai,2025-10-13T19:30:00Z,2025-10-13T19:31:00Z,,tmpl_303
DS-ENV-4016,completed,Please sign: Whitfield engagement,Ralph Delaney,ralph.delaney@Finthesiss.ai,2025-10-13T20:00:00Z,2025-10-13T20:01:00Z,2025-10-13T21:00:00Z,tmpl_304
DS-ENV-4017,delivered,Please sign: Aucoin engagement,Ralph Delaney,ralph.delaney@Finthesiss.ai,2025-10-13T20:30:00Z,2025-10-13T20:31:00Z,,tmpl_305
