id,thread_id,to_addr,cc_addr,subject,body,updated_at
dft_0000,thd_dft_0000,jane19@gmail.com,,Draft 0,Draft body 0,2026-09-01T19:57:25Z
dft_0001,thd_dft_0001,john84@aol.com,,Draft 1,Draft body 1,2026-04-27T06:33:58Z
dft_0002,thd_dft_0002,taylor37@gmail.com,,Draft 2,Draft body 2,2026-06-08T07:22:46Z
dft_0003,thd_dft_0003,morgan79@hotmail.com,,Draft 3,Draft body 3,2026-07-07T16:07:09Z
dft_0004,thd_dft_0004,mike56@hotmail.com,,Draft 4,Draft body 4,2026-03-06T02:08:10Z
dft_0005,thd_dft_0005,taylor47@yahoo.com,,Draft 5,Draft body 5,2026-05-14T08:51:41Z
dft_0006,thd_dft_0006,morgan21@hotmail.com,,Draft 6,Draft body 6,2026-04-15T10:18:21Z
dft_0007,thd_dft_0007,john94@yahoo.com,,Draft 7,Draft body 7,2026-09-01T08:53:56Z
dft_0008,thd_dft_0008,taylor97@yahoo.com,,Draft 8,Draft body 8,2026-08-06T07:38:07Z
dft_0009,thd_dft_0009,mike67@yahoo.com,,Draft 9,Draft body 9,2026-02-21T09:57:07Z
dft_0010,thd_dft_0010,taylor94@yahoo.com,,Draft 10,Draft body 10,2026-07-31T05:00:56Z
dft_0011,thd_dft_0011,sam55@gmail.com,,Draft 11,Draft body 11,2026-03-04T19:13:33Z
