response_id,field_id,field_type,ref,answer
resp-csat-1,fld-csat-name,short_text,name,Maria Chen
resp-csat-1,fld-csat-rating,rating,service_rating,5
resp-csat-1,fld-csat-recommend,multiple_choice,recommend,Definitely
resp-csat-1,fld-csat-email,email,contact_email,maria.chen@acme-corp.com
resp-csat-2,fld-csat-name,short_text,name,Tomas Reyes
resp-csat-2,fld-csat-rating,rating,service_rating,4
resp-csat-2,fld-csat-recommend,multiple_choice,recommend,Probably
resp-csat-3,fld-csat-name,short_text,name,Lena Voss
resp-csat-3,fld-csat-rating,rating,service_rating,3
resp-csat-3,fld-csat-recommend,multiple_choice,recommend,Not sure
resp-onb-1,fld-onb-role,multiple_choice,role,Engineer
resp-onb-1,fld-onb-ease,rating,setup_ease,4
resp-onb-1,fld-onb-comments,short_text,comments,Docs were clear and easy to follow
resp-onb-2,fld-onb-role,multiple_choice,role,Product Manager
resp-onb-2,fld-onb-ease,rating,setup_ease,5
resp-evt-1,fld-evt-name,short_text,attendee_name,Devon Clark
resp-evt-1,fld-evt-email,email,attendee_email,devon.clark@contractor.dev
resp-evt-1,fld-evt-track,multiple_choice,track,Platform
resp-evt-2,fld-evt-name,short_text,attendee_name,Priya Nair
resp-evt-2,fld-evt-email,email,attendee_email,priya.nair@lessor.com
resp-evt-2,fld-evt-track,multiple_choice,track,Security
resp-onb-1,fld-csat-email,multiple_choice,comments,devon.clark@contractor.dev
resp-csat-2,fld-csat-name,email,recommend,4
resp-csat-1,fld-csat-email,rating,role,Not sure
resp-csat-2,fld-csat-name,email,attendee_email,Docs were clear and easy to follow
resp-evt-1,fld-csat-email,short_text,recommend,Docs were clear and easy to follow
resp-csat-3,fld-csat-rating,multiple_choice,setup_ease,priya.nair@lessor.com
resp-csat-2,fld-onb-ease,email,attendee_email,4
resp-csat-1,fld-onb-role,rating,contact_email,Priya Nair
resp-csat-1,fld-csat-name,short_text,setup_ease,4
resp-onb-1,fld-onb-role,short_text,service_rating,5
resp-csat-3,fld-csat-name,multiple_choice,attendee_name,4
resp-evt-2,fld-csat-rating,multiple_choice,role,Lena Voss
resp-onb-2,fld-evt-track,multiple_choice,service_rating,5
resp-evt-1,fld-csat-email,rating,track,3
resp-onb-2,fld-csat-name,rating,name,Product Manager
resp-evt-1,fld-csat-recommend,multiple_choice,recommend,Lena Voss
resp-evt-2,fld-csat-recommend,short_text,name,3
resp-csat-1,fld-evt-track,rating,name,devon.clark@contractor.dev
resp-onb-2,fld-evt-email,rating,attendee_name,Platform
resp-csat-1,fld-onb-role,email,track,Priya Nair
resp-evt-2,fld-onb-ease,short_text,attendee_email,4
resp-csat-2,fld-evt-name,multiple_choice,contact_email,4
resp-onb-1,fld-csat-name,multiple_choice,attendee_name,Definitely
resp-onb-1,fld-evt-track,email,name,priya.nair@lessor.com
resp-csat-3,fld-csat-rating,short_text,recommend,Definitely
resp-csat-3,fld-evt-email,short_text,role,priya.nair@lessor.com
resp-csat-1,fld-onb-comments,rating,recommend,Not sure
resp-csat-2,fld-csat-recommend,rating,attendee_name,Tomas Reyes
resp-csat-3,fld-evt-track,email,recommend,Product Manager
resp-evt-2,fld-csat-name,short_text,service_rating,Priya Nair
resp-csat-3,fld-csat-name,short_text,role,priya.nair@lessor.com
resp-evt-1,fld-onb-ease,rating,attendee_email,Security
resp-csat-3,fld-evt-email,short_text,service_rating,4
resp-evt-1,fld-evt-track,multiple_choice,name,Engineer
resp-onb-1,fld-csat-name,short_text,recommend,Product Manager
resp-csat-3,fld-csat-rating,short_text,service_rating,5
resp-onb-1,fld-csat-recommend,multiple_choice,recommend,Security
resp-csat-2,fld-onb-role,email,attendee_name,Platform
resp-csat-1,fld-csat-email,rating,name,Not sure
resp-onb-1,fld-csat-recommend,rating,role,Definitely
resp-csat-3,fld-onb-comments,rating,name,Maria Chen
resp-onb-1,fld-onb-ease,email,recommend,Security
resp-csat-1,fld-csat-name,email,attendee_email,5
resp-onb-2,fld-onb-role,short_text,contact_email,Definitely
resp-csat-1,fld-onb-role,multiple_choice,setup_ease,Docs were clear and easy to follow
resp-csat-1,fld-evt-track,multiple_choice,recommend,Probably
resp-evt-1,fld-onb-role,short_text,name,Priya Nair
resp-evt-1,fld-evt-track,email,recommend,maria.chen@acme-corp.com
resp-csat-1,fld-evt-email,multiple_choice,service_rating,4
resp-csat-2,fld-evt-email,email,recommend,5
resp-csat-1,fld-evt-email,rating,recommend,priya.nair@lessor.com
resp-onb-1,fld-csat-rating,email,name,Security
resp-csat-2,fld-onb-ease,multiple_choice,role,Product Manager
resp-onb-1,fld-onb-comments,multiple_choice,attendee_name,Devon Clark
resp-evt-1,fld-onb-role,short_text,setup_ease,Lena Voss
resp-evt-2,fld-evt-track,multiple_choice,attendee_name,Definitely
resp-evt-2,fld-onb-role,multiple_choice,setup_ease,maria.chen@acme-corp.com
resp-evt-1,fld-evt-name,multiple_choice,recommend,Not sure
resp-onb-2,fld-csat-rating,multiple_choice,attendee_name,4
resp-csat-3,fld-evt-email,email,recommend,5
resp-evt-2,fld-csat-rating,multiple_choice,recommend,Docs were clear and easy to follow
resp-csat-2,fld-csat-rating,rating,service_rating,Docs were clear and easy to follow
resp-csat-2,fld-evt-track,short_text,name,5
resp-csat-2,fld-evt-track,short_text,recommend,Tomas Reyes
resp-evt-1,fld-onb-ease,rating,attendee_name,Docs were clear and easy to follow
